iqm_name,iqm_definition,image_type,measure_type
aor,"AFNI'S outlier ratio. Mean fraction of outliers per fMRI volume, from AFNI's 3dToutcount.<br>
Higher values indicate lower quality.",func,other
aqi,"AFNI's quality index. Mean quality index, from AFNI's 3dTqual.<br>
Values close to 0 indicate higher quality.",func,other
cjv,"Coefficient of joint variation between white matter and gray matter.<br>
Higher values indicate more head motion and/or intensity non-uniformity artifacts.",anat,noise
cnr,"Contrast-to-noise ratio, reflecting separation between GM & WM.<br>
Higher values indicate higher quality.",anat,noise
dummy_trs,Number of volumes in the beginning of the fMRI timeseries identified as non-steady state.,func,other
dvars_nstd,"DVARS is the average change in mean intensity between each pair of fMRI volumes in a series.<br>
Higher values indicate more dramatic changes (e.g., due to motion or spiking).",func,temporal
dvars_std,"DVARS is the average change in mean intensity between each pair of fMRI volumes in a series.<br>
Higher values indicate more dramatic changes (e.g., due to motion or spiking).",func,temporal
dvars_vstd,"DVARS is the average change in mean intensity between each pair of fMRI volumes in a series.<br>
Higher values indicate more dramatic changes (e.g., due to motion or spiking).",func,temporal
efc,"Shannon entropy-focus criterion.<br>
Higher values indicate more ghosting and/or head motion blurring. ",func,spatial
fber,"Foreground-background energy ratio: the variance of voxels inside the brain divided by the variance of voxels outside the brain.<br>
Higher values indicate higher quality.",func,spatial
fd_mean,"Mean framewise displacement: measure of subject head motion, which compares the motion between the current and previous volumes.<br>
Higher values indicate lower quality.",func,motion
fd_num,"Number of timepoints with framewise displacement >0.2mm.<br>
Higher values indicate lower quality.",func,motion
fd_perc,"Percent of timepoints with framewise displacement >0.2mm.<br>
Higher values indicate lower quality.",func,motion
fwhm_avg,"Image blurriness (full-width half-maximum).<br>
Higher values indicate a blurrier image.",func,spatial
fwhm_x,"Image blurriness (full-width half-maximum).<br>
Higher values indicate a blurrier image.",anat,spatial
fwhm_y,"Image blurriness (full-width half-maximum).<br>
Higher values indicate a blurrier image.",anat,spatial
fwhm_z,"Image blurriness (full-width half-maximum).<br>
Higher values indicate a blurrier image.",anat,spatial
gcor,"Global correlation: Average correlation of all pairs of voxel time series inside of the brain.<br>Illustrates differences between data due to motion/physiological noise/imaging artifacts.
<br>Values closer to zero are better.",func,temporal
gsr_x,"Ghost-to-signal ratio along the x or y encoding axes.<br>
Higher values indicate lower quality.",func,other
gsr_y,"Ghost-to-signal ratio along the x or y encoding axes.<br>
Higher values indicate lower quality.",func,other
icvs_csf,"
Intracranial volume fraction in CSF.<br>
Values should move within a normative range.",anat,descriptive
icvs_gm,"
Intracranial volume fraction in grey matter.<br>
Values should move within a normative range.",anat,descriptive
icvs_wm,"
Intracranial volume fraction in white matter.<br>
Values should move within a normative range.",anat,descriptive
inu_med,"Intensity non-uniformity (bias field) median.<br>
Values closer to 1 indicate higher quality; further from zero indicate greater RF field inhomogeneity.",anat,artifact
inu_range,"Intensity non-uniformity (bias field) range.<br>
Values closer to 1 indicate higher quality; further from zero indicate greater RF field inhomogeneity.",anat,artifact
qi_1,"Mortamet's quality index 1. The proportion of voxels outside the brain with artifacts to the total number of voxels outside the brain.<br>
Higher values indicate lower quality.",anat,other
qi_2,"Mortamet's quality index 2. A quality index accounting for effects of both clustered and subtle artifacts in the air background.<br>
Higher values indicate lower quality.",anat,noise
rpve_csf,"Residual partial volume error in CSF.<br>
Higher values indicate lower quality.",anat,other
rpve_gm,"Residual partial volume error in grey matter.<br>
Higher values indicate lower quality.",anat,other
rpve_wm,"Residual partial volume error in white matter.<br>
Higher values indicate lower quality.",anat,other
snr,"Signal-to-noise ratio within the tissue mask.<br>
Higher values indicate higher quality.",func,noise
snr_csf,"Signal-to-noise ratio within the CSF mask.<br>
Higher values indicate higher quality.",anat,noise
snr_gm,"Signal-to-noise ratio within the grey matter mask.<br>
Higher values indicate higher quality.",anat,noise
snr_total,"Signal-to-noise ratio within the total mask.<br>
Higher values indicate higher quality.",anat,noise
snr_wm,"Signal-to-noise ratio within the white matter mask.<br>
Higher values indicate higher quality.",anat,noise
snrd_csf,"Dietrich et al. (2007)'s signal-to-noise ratio in CSF.<br>
Higher values indicate higher quality.",anat,noise
snrd_gm,"Dietrich et al. (2007)'s signal-to-noise ratio in grey matter.<br>
Higher values indicate higher quality.",anat,noise
snrd_total,"Dietrich et al. (2007)'s signal-to-noise ratio (total).<br>
Higher values indicate higher quality.",anat,noise
snrd_wm,"Dietrich et al. (2007)'s signal-to-noise ratio in white matter.<br>
Higher values indicate higher quality.",anat,noise
summary_bg_k,Summary statistics for average intensities in the image background.,anat,descriptive
summary_bg_mad,Summary statistics for average intensities in the image background.,anat,descriptive
summary_bg_mean,Summary statistics for average intensities in the image background.,anat,descriptive
summary_bg_median,Summary statistics for average intensities in the image background.,anat,descriptive
summary_bg_n,Summary statistics for average intensities in the image background.,anat,descriptive
summary_bg_p05,Summary statistics for average intensities in the image background.,anat,descriptive
summary_bg_p95,Summary statistics for average intensities in the image background.,anat,descriptive
summary_bg_stdv,Summary statistics for average intensities in the image background.,anat,descriptive
summary_csf_k,Summary statistics for average intensities in CSF.,anat,descriptive
summary_csf_mad,Summary statistics for average intensities in CSF.,anat,descriptive
summary_csf_mean,Summary statistics for average intensities in CSF.,anat,descriptive
summary_csf_median,Summary statistics for average intensities in CSF.,anat,descriptive
summary_csf_n,Summary statistics for average intensities in CSF.,anat,descriptive
summary_csf_p05,Summary statistics for average intensities in CSF.,anat,descriptive
summary_csf_p95,Summary statistics for average intensities in CSF.,anat,descriptive
summary_csf_stdv,Summary statistics for average intensities in CSF.,anat,descriptive
summary_fg_k,Summary statistics for the image foreground.,func,descriptive
summary_fg_mad,Summary statistics for the image foreground.,func,descriptive
summary_fg_mean,Summary statistics for the image foreground.,func,descriptive
summary_fg_median,Summary statistics for the image foreground.,func,descriptive
summary_fg_n,Summary statistics for the image foreground.,func,descriptive
summary_fg_p05,Summary statistics for the image foreground.,func,descriptive
summary_fg_p95,Summary statistics for the image foreground.,func,descriptive
summary_fg_stdv,Summary statistics for the image foreground.,func,descriptive
summary_gm_k,Summary statistics for average intensities in GM.,anat,descriptive
summary_gm_mad,Summary statistics for average intensities in GM.,anat,descriptive
summary_gm_mean,Summary statistics for average intensities in GM.,anat,descriptive
summary_gm_median,Summary statistics for average intensities in GM.,anat,descriptive
summary_gm_n,Summary statistics for average intensities in GM.,anat,descriptive
summary_gm_p05,Summary statistics for average intensities in GM.,anat,descriptive
summary_gm_p95,Summary statistics for average intensities in GM.,anat,descriptive
summary_gm_stdv,Summary statistics for average intensities in GM.,anat,descriptive
summary_wm_k,Summary statistics for average intensities in WM.,anat,descriptive
summary_wm_mad,Summary statistics for average intensities in WM.,anat,descriptive
summary_wm_mean,Summary statistics for average intensities in WM.,anat,descriptive
summary_wm_median,Summary statistics for average intensities in WM.,anat,descriptive
summary_wm_n,Summary statistics for average intensities in WM.,anat,descriptive
summary_wm_p05,Summary statistics for average intensities in WM.,anat,descriptive
summary_wm_p95,Summary statistics for average intensities in WM.,anat,descriptive
summary_wm_stdv,Summary statistics for average intensities in WM.,anat,descriptive
tpm_overlap_csf,"TPM overlap: How well the CSF tissue probability maps overlap with those from the MNI ICBM 2009 template.<br>
Higher values indicate better spatial normalization.",anat,other
tpm_overlap_gm,"TPM overlap: How well the grey matter tissue probability maps overlap with those from the MNI ICBM 2009 template.<br>
Higher values indicate better spatial normalization.",anat,other
tpm_overlap_wm,"TPM overlap: How well the white matter tissue probability maps overlap with those from the MNI ICBM 2009 template.<br>
Higher values indicate better spatial normalization.",anat,other
tsnr,"Temporal signal-to-noise ratio taking into account mean signal over time.<br>
Higher values indicate higher quality.",func,temporal
wm2max,"White matter-to-maximum intensity ratio: captures skewed distributions within the WM mask, <br>caused by fat and vascular-related hyperintensities.<br>
Ideal values fall within the interval [0.6, 0.8].",anat,artifact
